Entry,Entry name,Status,Protein names,Gene names,Organism,Length,GO
P24813,AP2_YEAST,reviewed,AP-1-like transcription factor YAP2 (Cadmium resistance protein 1) (Transcription factor CAD1),CAD1 YAP2 YDR423C D9461.12,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),409,GO:0043565
P07248,ADR1_YEAST,reviewed,Regulatory protein ADR1,ADR1 YDR216W YD8142.16 YD8142B.08,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1323,GO:0043565
P36106,BYE1_YEAST,reviewed,Transcription factor BYE1 (Bypass of ESS1 protein 1),BYE1 YKL005C YKL150,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),594,GO:0043565
Q07457,BRE1_YEAST,reviewed,E3 ubiquitin-protein ligase BRE1 (EC 2.3.2.27) (Brefeldin A-sensitivity protein 1) (RING-type E3 ubiquitin transferase BRE1),BRE1 YDL074C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),700,GO:0043565
P47112,CDT1_YEAST,reviewed,Cell division cycle protein CDT1 (SIC1 indispensable protein 2) (Topoisomerase-A hypersensitive protein 11),TAH11 CDT1 SID2 YJR046W J1641,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),604,GO:0043565
P34219,TOD6_YEAST,reviewed,Transcriptional regulatory protein TOD6 (PAC-binding factor 1) (Twin of DOT6),TOD6 PBF1 YBL054W YBL0509 YBL0513,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),525,GO:0043565
Q07351,STP4_YEAST,reviewed,Zinc finger protein STP4,STP4 YDL048C D2690,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),490,GO:0043565
Q00416,SEN1_YEAST,reviewed,Helicase SEN1 (EC 3.6.4.-) (tRNA-splicing endonuclease positive effector),SEN1 YLR430W L9576.1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2231,GO:0043565
P46974,RSF2_YEAST,reviewed,Respiration factor 2 (Zinc finger protein ZMS1),RSF2 ZMS1 YJR127C J2052,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1380,GO:0043565
P36167,SRL3_YEAST,reviewed,Protein SRL3 (RAD53 lethality suppressor protein 3),SRL3 YKR091W YKR411,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),246,GO:0043565
P38749,YAP3_YEAST,reviewed,AP-1-like transcription factor YAP3,YAP3 YHL009C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),330,GO:0043565
Q08182,YAP7_YEAST,reviewed,AP-1-like transcription factor YAP7,YAP7 YOL028C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),245,GO:0043565
P34161,YOX1_YEAST,reviewed,Homeobox protein YOX1,YOX1 YML027W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),385,GO:0043565
Q02100,SKO1_YEAST,reviewed,CRE-binding bZIP protein SKO1,SKO1 ACR1 YNL167C N1702,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),647,GO:0043565
P38204,RRN10_YEAST,reviewed,RNA polymerase I-specific transcription initiation factor RRN10,RRN10 YBL025W YBL0426,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),145,GO:0043565
Q06639,RSC3_YEAST,reviewed,Chromatin structure-remodeling complex protein RSC3 (Remodel the structure of chromatin complex subunit 3),RSC3 YDR303C D9740.13,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),885,GO:0043565
P36070,RRN3_YEAST,reviewed,RNA polymerase I-specific transcription initiation factor RRN3,RRN3 YKL125W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),627,GO:0043565
P43551,ZNF1_YEAST,reviewed,Respiratory transcription factor ZNF1 (Zinc finger protein 1),ZNF1 YFL052W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),465,GO:0043565
P47043,ZAP1_YEAST,reviewed,Zinc-responsive transcriptional regulator ZAP1,ZAP1 YJL056C J1145,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),880,GO:0043565
P32914,SPT4_YEAST,reviewed,Transcription elongation factor SPT4 (Chromatin elongation factor SPT4),SPT4 YGR063C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),102,GO:0043565
P33122,TYE7_YEAST,reviewed,Serine-rich protein TYE7 (Basic-helix-loop-helix protein SGC1),TYE7 SGC1 YOR344C O6233,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),291,GO:0043565
P34228,SEF1_YEAST,reviewed,Putative transcription factor SEF1 (Suppressor of essential function protein 1) (Suppressor protein SEF1),SEF1 YBL066C YBL0501 YBL0526,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1148,GO:0043565
Q06163,TERT_YEAST,reviewed,Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit),EST2 YLR318W L8543.12,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),884,GO:0043565
P38699,STB5_YEAST,reviewed,Protein STB5,STB5 YHR178W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),743,GO:0043565
P38704,STP2_YEAST,reviewed,Transcription factor STP2,STP2 YHR006W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),541,GO:0043565
P52286,SKP1_YEAST,reviewed,Suppressor of kinetochore protein 1 (Centromere DNA-binding protein complex CBF3 subunit D) (E3 ubiquitin ligase complex SCF subunit SKP1),SKP1 CBF3D YDR328C D9798.14,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),194,GO:0043565
P32579,SUA5_YEAST,reviewed,Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (Suppressor of upstream AUG protein 5) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein SUA5) (tRNA threonylcarbamoyladenosine biosynthesis protein SUA5),SUA5 YGL169W G1660,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),426,GO:0043565
P32325,DBF4_YEAST,reviewed,DDK kinase regulatory subunit DBF4 (Dumbbell forming protein 4),DBF4 DNA52 YDR052C D4205 YD9609.07C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),704,GO:0043565
P43132,BRE2_YEAST,reviewed,COMPASS component BRE2 (Brefeldin-A sensitivity protein 2) (Complex proteins associated with SET1 protein BRE2) (Set1C component BRE2),BRE2 CPS60 YLR015W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),505,GO:0043565
P36012,CENPA_YEAST,reviewed,Histone H3-like centromeric protein CSE4 (CENP-A homolog) (Chromosome segregation protein 4),CSE4 CSL2 YKL049C YKL262,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),229,GO:0043565
P26343,DAL80_YEAST,reviewed,Nitrogen regulatory protein DAL80 (Regulatory protein UGA43),DAL80 UGA43 YKR034W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),269,GO:0043565
P17106,CBF1_YEAST,reviewed,Centromere-binding protein 1 (CBP-1) (Centromere promoter factor 1) (Centromere-binding factor 1),CBF1 CEP1 CP1 CPF1 YJR060W J1730,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),351,GO:0043565
Q12145,CMR3_YEAST,reviewed,Zinc finger protein CRM3 (Changed mutation rate protein 3),CMR3 YPR013C LPZ12c,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),317,GO:0043565
P29311,BMH1_YEAST,reviewed,Protein BMH1,BMH1 YER177W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),267,GO:0043565
P43634,CHA4_YEAST,reviewed,Activatory protein CHA4,CHA4 SIL2 SIL3 YLR098C L8004.8,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),648,GO:0043565
P10508,MAL63_YEASX,reviewed,Maltose fermentation regulatory protein MAL63,MAL63 MAL6R,Saccharomyces cerevisiae (Baker's yeast),473,GO:0043565
P22148,MSN1_YEAST,reviewed,Protein MSN1 (Multicopy suppressor of SNF1 protein 1),MSN1 FUP1 PHD2 YOL116W HRB382,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),382,GO:0043565
P25502,PUT3_YEAST,reviewed,Proline utilization trans-activator,PUT3 YKL015W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),979,GO:0043565
P40059,DOT6_YEAST,reviewed,Transcriptional regulatory protein DOT6 (Disrupter of telomere silencing protein 6) (PAC-binding factor 2),DOT6 PBF2 YER088C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),670,GO:0043565
P39943,MIG3_YEAST,reviewed,Transcription corepressor MIG3 (Multicopy inhibitor of growth protein 3),MIG3 YER028C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),394,GO:0043565
P32389,MET4_YEAST,reviewed,Transcriptional activator of sulfur metabolism MET4 (Methionine-requiring protein 4),MET4 YNL103W N2177,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),672,GO:0043565
P36093,PHD1_YEAST,reviewed,Putative transcription factor PHD1,PHD1 YKL043W YKL256,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),366,GO:0043565
P22216,RAD53_YEAST,reviewed,Serine/threonine-protein kinase RAD53 (EC 2.7.12.1) (CHEK2 homolog) (Serine-protein kinase 1),RAD53 MEC2 SAD1 SPK1 YPL153C P2588,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),821,GO:0043565
P32862,RGT1_YEAST,reviewed,Glucose transport transcription regulator RGT1 (Restores glucose transport protein 1),RGT1 YKL038W YKL251,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1170,GO:0043565
P38826,ORC6_YEAST,reviewed,Origin recognition complex subunit 6 (ACS-associated protein 1) (Origin recognition complex 50 kDa subunit),ORC6 AAP1 YHR118C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),435,GO:0043565
P40473,POG1_YEAST,reviewed,Transcriptional activator POG1 (Promoter of growth protein 1),POG1 YIL122W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),351,GO:0043565
Q04052,ARO80_YEAST,reviewed,Transcriptional activator ARO80,ARO80 YDR421W D9461.10,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),950,GO:0043565
P07272,PPR1_YEAST,reviewed,Pyrimidine pathway regulatory protein 1,PPR1 YLR014C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),904,GO:0043565
P26755,RFA3_YEAST,reviewed,Replication factor A protein 3 (RF-A) (Replication protein A 13 kDa subunit),RFA3 YJL173C J0506,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),122,GO:0043565
Q03081,MET31_YEAST,reviewed,Transcriptional regulator MET31 (Methionine-requiring protein 31),MET31 YPL038W P7102.12,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),177,GO:0043565
Q92317,NCB2_YEAST,reviewed,Negative cofactor 2 complex subunit beta (NC2 complex subunit beta) (Transcriptional repressor YDR1),NCB2 YDR1 YDR397C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),146,GO:0043565
P19541,RDS2_YEAST,reviewed,Regulator of drug sensitivity 2,RDS2 YPL133C LPI12C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),446,GO:0043565
P24279,MCM3_YEAST,reviewed,DNA replication licensing factor MCM3 (EC 3.6.4.12) (Minichromosome maintenance protein 3),MCM3 YEL032W SYGP-ORF23,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),971,GO:0043565
P32567,PAH1_YEAST,reviewed,Phosphatidic acid phosphohydrolase 1 (PAP1) (EC 3.1.3.4) (Protein SMP2),PAH1 PAP1 SMP2 YMR165C YM8520.14C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),862,GO:0043565
P38110,ATM_YEAST,reviewed,Serine/threonine-protein kinase TEL1 (EC 2.7.11.1) (ATM homolog) (DNA-damage checkpoint kinase TEL1) (Telomere length regulation protein 1),TEL1 YBL088C YBL0706,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2787,GO:0043565
Q03833,GIS1_YEAST,reviewed,Transcriptional activator/repressor GIS1,GIS1 YDR096W YD8557.01,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),894,GO:0043565
P53035,MIG2_YEAST,reviewed,Regulatory protein MIG2,MIG2 MLZ1 YGL209W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),382,GO:0043565
P30665,MCM4_YEAST,reviewed,DNA replication licensing factor MCM4 (EC 3.6.4.12) (Cell division control protein 54),MCM4 CDC54 HCD21 YPR019W YP9531.13,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),933,GO:0043565
P54784,ORC1_YEAST,reviewed,Origin recognition complex subunit 1 (Origin recognition complex 120 kDa subunit),ORC1 YML065W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),914,GO:0043565
P32585,MED18_YEAST,reviewed,Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18) (Suppressor of RNA polymerase B 5),SRB5 MED18 YGR104C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),307,GO:0043565
P33748,MSN2_YEAST,reviewed,Zinc finger protein MSN2 (Multicopy suppressor of SNF1 protein 2),MSN2 YMR037C YM9532.02C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),704,GO:0043565
P39720,OAF1_YEAST,reviewed,Oleate-activated transcription factor 1,OAF1 YAF1 YAL051W FUN43,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1047,GO:0043565
P33200,PDR3_YEAST,reviewed,Transcription factor PDR3 (Pleiotropic drug resistance protein 3),PDR3 YBL005W YBL0323,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),976,GO:0043565
Q03957,CTK1_YEAST,reviewed,CTD kinase subunit alpha (CTDK-I subunit alpha) (EC 2.7.11.23) (CTD kinase 58 kDa subunit) (CTD kinase subunit 1),CTK1 YKL139W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),528,GO:0043565
P38304,MED8_YEAST,reviewed,Mediator of RNA polymerase II transcription subunit 8 (Mediator complex subunit 8),MED8 YBR193C YBR1403,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),223,GO:0043565
P40573,MET28_YEAST,reviewed,Transcriptional activator of sulfur metabolism MET28 (Methionine-requiring protein 28),MET28 YIR017C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),187,GO:0043565
P32829,MRE11_YEAST,reviewed,Double-strand break repair protein MRE11,MRE11 YMR224C YM9959.06C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),692,GO:0043565
P38073,EDS1_YEAST,reviewed,Transcriptional regulatory protein EDS1 (Expression dependent on SLT2 protein 1),EDS1 YBR033W YBR0318,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),919,GO:0043565
P32833,ORC2_YEAST,reviewed,Origin recognition complex subunit 2 (Origin recognition complex 71 kDa subunit),ORC2 RRR1 SIR5 YBR060C YBR0523,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),620,GO:0043565
P54790,ORC3_YEAST,reviewed,Origin recognition complex subunit 3 (Origin recognition complex 62 kDa subunit),ORC3 OAF1 OIF1 YLL004W L1365,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),616,GO:0043565
P32896,PDC2_YEAST,reviewed,Protein PDC2,PDC2 YDR081C D4451,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),925,GO:0043565
Q06149,PDR8_YEAST,reviewed,Transcription factor PDR8 (Pleiotropic drug resistance protein 8),PDR8 YLR266C L8479.13,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),701,GO:0043565
P41817,CUP9_YEAST,reviewed,Homeobox protein CUP9,CUP9 YPL177C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),306,GO:0043565
P47035,NET1_YEAST,reviewed,Nucleolar protein NET1,NET1 CFI1 ESC5 SRM8 YJL076W J1038,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1189,GO:0043565
P36023,OAF3_YEAST,reviewed,Oleate activated transcription factor 3,OAF3 YKR064W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),863,GO:0043565
P32786,RRN6_YEAST,reviewed,RNA polymerase I-specific transcription initiation factor RRN6,RRN6 YBL014C YBL0311 YBL0312,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),894,GO:0043565
P29539,RIF1_YEAST,reviewed,Telomere length regulator protein RIF1 (RAP1-interacting factor 1),RIF1 YBR275C YBR1743,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1916,GO:0043565
Q04712,RRN11_YEAST,reviewed,RNA polymerase I-specific transcription initiation factor RRN11,RRN11 YML043C YM9827.09C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),507,GO:0043565
P38344,REI1_YEAST,reviewed,Cytoplasmic 60S subunit biogenesis factor REI1 (Required for isotropic bud growth protein 1) (pre-60S factor REI1),REI1 YBR267W YBR1736,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),393,GO:0043565
P26754,RFA2_YEAST,reviewed,Replication factor A protein 2 (RF-A protein 2) (DNA-binding protein BUF1) (Replication protein A 36 kDa subunit),RFA2 BUF1 YNL312W N0368,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),273,GO:0043565
P38830,NDT80_YEAST,reviewed,Meiosis-specific transcription factor NDT80,NDT80 DAS1 YHR124W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),627,GO:0043565
P54791,ORC4_YEAST,reviewed,Origin recognition complex subunit 4 (Origin recognition complex 56 kDa subunit),ORC4 YPR162C P9325.5,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),529,GO:0043565
Q08904,RDR1_YEAST,reviewed,Protein RDR1 (Repressor of drug resistance protein 1),RDR1 YOR380W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),546,GO:0043565
P40090,SCC4_YEAST,reviewed,MAU2 chromatid cohesion factor homolog (Sister chromatid cohesion protein 4),SCC4 YER147C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),624,GO:0043565
P50874,ORC5_YEAST,reviewed,Origin recognition complex subunit 5 (Origin recognition complex 53 kDa subunit),ORC5 YNL261W N0834,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),479,GO:0043565
Q03125,NRG1_YEAST,reviewed,Transcriptional regulator NRG1 (Zinc finger protein MSS1),NRG1 MSS1 YDR043C YD5112.01C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),231,GO:0043565
Q07979,RSC58_YEAST,reviewed,Chromatin structure-remodeling complex protein RSC58 (Remodel the structure of chromatin complex subunit 58),RSC58 YLR033W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),502,GO:0043565
P0CY10,MATA1_YEASX,reviewed,Mating-type protein A1 (MATa1 protein),MATA1 MAT1A,Saccharomyces cerevisiae (Baker's yeast),126,GO:0043565
Q12366,NDJ1_YEAST,reviewed,Non-disjunction protein 1 (Telomere-associated meiosis protein 1),NDJ1 TAM1 YOL104C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),352,GO:0043565
P52960,PIP2_YEAST,reviewed,Peroxisome proliferation transcriptional regulator (Oleate-activated transcription factor 2),PIP2 OAF2 YOR363C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),996,GO:0043565
Q12457,NSI1_YEAST,reviewed,RNA polymerase I termination factor (NTS1 silencing protein 1),NSI1 YDR026C PZE570,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),570,GO:0043565
P07270,PHO4_YEAST,reviewed,Phosphate system positive regulatory protein PHO4,PHO4 YFR034C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),312,GO:0043565
Q08957,AFT2_YEAST,reviewed,Iron-regulated transcriptional activator AFT2 (Activator of iron transcription protein 2),AFT2 YPL202C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),416,GO:0043565
P08638,LEUR_YEAST,reviewed,Regulatory protein LEU3,LEU3 YLR451W L9324.1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),886,GO:0043565
P27705,MIG1_YEAST,reviewed,Regulatory protein MIG1 (Regulatory protein CAT4),MIG1 CAT4 SSN1 YGL035C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),504,GO:0043565
Q06436,MAG2_YEAST,reviewed,RING-finger protein MAG2,MAG2 YLR427W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),670,GO:0043565
P11633,NHP6B_YEAST,reviewed,Non-histone chromosomal protein 6B,NHP6B NHPB YBR089C-A YBR090BC,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),99,GO:0043565
Q12180,HAL9_YEAST,reviewed,Halotolerance protein 9,HAL9 YOL089C O0938,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1030,GO:0043565
P27476,NSR1_YEAST,reviewed,Nuclear localization sequence-binding protein (p67),NSR1 YGR159C G7001,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),414,GO:0043565
P38082,NRG2_YEAST,reviewed,Probable transcriptional regulator NRG2,NRG2 YBR066C YBR0616,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),220,GO:0043565
P25364,HCM1_YEAST,reviewed,Forkhead transcription factor HCM1 (High-copy suppressor of calmodulin protein 1),HCM1 YCR065W YCR65W YCR902,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),564,GO:0043565
Q2V2Q1,ADF1_YEAST,reviewed,Antisense of depressing factor protein 1,ADF1 YCL058W-A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),113,GO:0043565
P03069,GCN4_YEAST,reviewed,General control protein GCN4 (Amino acid biosynthesis regulatory protein),GCN4 AAS3 ARG9 YEL009C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),281,GO:0043565
P53091,MCM6_YEAST,reviewed,DNA replication licensing factor MCM6 (EC 3.6.4.12) (Minichromosome maintenance protein 6),MCM6 YGL201C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1017,GO:0043565
P40096,NCB1_YEAST,reviewed,Negative cofactor 2 complex subunit alpha (NC2 complex subunit alpha) (Transcription repressor BUR6),BUR6 NCB1 YER159C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),142,GO:0043565
P38144,ISW1_YEAST,reviewed,ISWI chromatin-remodeling complex ATPase ISW1 (EC 3.6.4.-),ISW1 YBR245C YBR1633,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1129,GO:0043565
P40969,CBF3B_YEAST,reviewed,Centromere DNA-binding protein complex CBF3 subunit B (Centromere protein 3),CEP3 CBF3 CBF3B CSL1 YMR168C YM8520.17C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),608,GO:0043565
P33749,MSN4_YEAST,reviewed,Zinc finger protein MSN4 (Multicopy suppressor of SNF1 protein 4),MSN4 YKL062W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),630,GO:0043565
P54785,MOT3_YEAST,reviewed,Transcriptional activator/repressor MOT3 (Hypoxic gene repressor protein 7) (Modulator of transcription protein 3),MOT3 ROX7 YMR070W YM9916.09,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),490,GO:0043565
Q08773,ISW2_YEAST,reviewed,ISWI chromatin-remodeling complex ATPase ISW2 (EC 3.6.4.-) (Imitation switch protein 2),ISW2 YOR304W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1120,GO:0043565
P41910,MAF1_YEAST,reviewed,Repressor of RNA polymerase III transcription MAF1,MAF1 YDR005C YD8119.11C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),395,GO:0043565
P29496,MCM5_YEAST,reviewed,Minichromosome maintenance protein 5 (EC 3.6.4.12) (Cell division control protein 46),MCM5 CDC46 YLR274W L9328.1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),775,GO:0043565
P0CY08,MTAL2_YEAST,reviewed,Mating-type protein ALPHA2 (MATalpha2 protein) (Alpha-2 repressor),MATALPHA2 ALPHA-2 MAT2A MATAL2 YCR039C YCR39C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),210,GO:0043565
P32354,MCM10_YEAST,reviewed,Minichromosome maintenance protein 10 (Protein DNA43),MCM10 DNA43 YIL150C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),571,GO:0043565
Q12041,MET32_YEAST,reviewed,Transcriptional regulator MET32 (Methionine-requiring protein 32),MET32 YDR253C YD9320A.03C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),191,GO:0043565
P05085,ARGR2_YEAST,reviewed,Arginine metabolism regulation protein II (Arginine-requiring protein 81),ARG81 ARGR2 YML099C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),880,GO:0043565
P42944,GZF3_YEAST,reviewed,Protein GZF3,GZF3 YJL110C J0806,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),551,GO:0043565
P35192,MAC1_YEAST,reviewed,Metal-binding activator 1,MAC1 CUA1 YMR021C YM9711.11C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),417,GO:0043565
P38132,MCM7_YEAST,reviewed,DNA replication licensing factor MCM7 (EC 3.6.4.12) (Cell division control protein 47) (Minichromosome maintenance protein 7),MCM7 CDC47 YBR202W YBR1441,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),845,GO:0043565
Q07928,GAT3_YEAST,reviewed,Protein GAT3,GAT3 YLR013W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),141,GO:0043565
P06774,HAP2_YEAST,reviewed,Transcriptional activator HAP2,HAP2 YGL237C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),265,GO:0043565
P0CY09,HMAL2_YEAST,reviewed,Silenced mating-type protein ALPHA2 (MATalpha2 protein) (Alpha-2 repressor),HMLALPHA2 YCL067C YCL67C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),210,GO:0043565
P11746,MCM1_YEAST,reviewed,Pheromone receptor transcription factor (GRM/PRTF protein),MCM1 FUN80 YMR043W YM9532.08,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),286,GO:0043565
